"Segment","Country","Product","Discount Band","Units Sold","Manufacturing Price","Sale Price","Gross Sales","Discounts"," Sales","COGS","Profit","Date","Month Number","Month Name","Year"
"Government","Canada","Carretera","None","1618"," $ 3 "," $ 20 "," $ 32,370 ","0"," $ 32,370 "," $ 16,185 "," $ 16,185 ","1/1/2014","1","January","2014"
"Government","Germany","Carretera","None","1321"," $ 3 "," $ 20 "," $ 26,420 ","0"," $ 26,420 "," $ 13,210 "," $ 13,210 ","1/1/2014","1","January","2014"
"Midmarket","France","Carretera","None","2178"," $ 3 "," $ 15 "," $ 32,670 ","0"," $ 32,670 "," $ 21,780 "," $ 10,890 ","6/1/2014","6","June","2014"
"Midmarket","Germany","Carretera","None","888"," $ 3 "," $ 15 "," $ 13,320 ","0"," $ 13,320 "," $ 8,880 "," $ 4,440 ","6/1/2014","6","June","2014"
"Midmarket","Mexico","Carretera","None","2470"," $ 3 "," $ 15 "," $ 37,050 ","0"," $ 37,050 "," $ 24,700 "," $ 12,350 ","6/1/2014","6","June","2014"
"Government","Germany","Carretera","None","1513"," $ 3 "," $ 350 "," $ 529,550 ","0"," $ 529,550 "," $ 393,380 "," $ 136,170 ","12/1/2014","12","December","2014"
"Midmarket","Germany","Montana","None","921"," $ 5 "," $ 15 "," $ 13,815 ","0"," $ 13,815 "," $ 9,210 "," $ 4,605 ","3/1/2014","3","March","2014"
"Channel Partners","Canada","Montana","None","2518"," $ 5 "," $ 12 "," $ 30,216 ","0"," $ 30,216 "," $ 7,554 "," $ 22,662 ","6/1/2014","6","June","2014"
"Government","France","Montana","None","1899"," $ 5 "," $ 20 "," $ 37,980 ","0"," $ 37,980 "," $ 18,990 "," $ 18,990 ","6/1/2014","6","June","2014"
"Channel Partners","Germany","Montana","None","1545"," $ 5 "," $ 12 "," $ 18,540 ","0"," $ 18,540 "," $ 4,635 "," $ 13,905 ","6/1/2014","6","June","2014"
"Midmarket","Mexico","Montana","None","2470"," $ 5 "," $ 15 "," $ 37,050 ","0"," $ 37,050 "," $ 24,700 "," $ 12,350 ","6/1/2014","6","June","2014"
"Enterprise","Canada","Montana","None","2666"," $ 5 "," $ 125 "," $ 333,188 ","0"," $ 333,188 "," $ 319,860 "," $ 13,328 ","7/1/2014","7","July","2014"
"Small Business","Mexico","Montana","None","958"," $ 5 "," $ 300 "," $ 287,400 ","0"," $ 287,400 "," $ 239,500 "," $ 47,900 ","8/1/2014","8","August","2014"
"Government","Germany","Montana","None","2146"," $ 5 "," $ 7 "," $ 15,022 ","0"," $ 15,022 "," $ 10,730 "," $ 4,292 ","9/1/2014","9","September","2014"
